date,E_Conductivity,TempInSitu,Serial,AbsPressure,TempInSitu.depth,Depth,Serial.depth,AbsPressure_bar,A,B,Sp_Conductance,Sp_Conductance_cal,SalinityInSitu_2pCal
2021-01-19T11:09:00Z,40003.6,29.14,CT_324,107.724,29.252,0.605,WL_877,1.07724,12.593741305600002,138.14,43869.97069017385,46461.17470041386,30.15044568760501
2021-01-19T11:10:00Z,39999.7,29.15,CT_324,106.893,29.252,0.523,WL_877,1.06893,12.607596509999999,138.15,43875.15807906361,46466.67065218978,30.154433790530607
2021-01-19T11:11:00Z,40015.4,29.16,CT_324,107.145,29.252,0.548,WL_877,1.07145,12.6214518816,138.16,43901.84804274798,46494.94822235617,30.174941864527426
2021-01-19T11:12:00Z,40007.5,29.18,CT_324,106.64,29.252,0.497,WL_877,1.0664,12.6491631264,138.18,43912.117077304814,46505.82809273201,30.18283462146825
2021-01-19T11:13:00Z,40007.5,29.18,CT_324,107.163,29.252,0.549,WL_877,1.07163,12.6491631264,138.18,43912.117077304814,46505.82809273201,30.182833165734753
2021-01-19T11:14:00Z,39991.9,29.18,CT_324,106.875,29.252,0.521,WL_877,1.06875,12.6491631264,138.18,43894.99456211626,46487.687074243,30.16967615271063
2021-01-19T11:15:00Z,40019.3,29.19,CT_324,106.983,29.252,0.532,WL_877,1.06983,12.663018999600002,138.19,43934.5408631888,46529.58571886552,30.200066522997677
2021-01-19T11:16:00Z,40015.4,29.21,CT_324,107.001,29.252,0.533,WL_877,1.0700100000000001,12.690731247600002,138.21,43949.204125724966,46545.12120029734,30.211336087417223
2021-01-19T11:17:00Z,40015.4,29.23,CT_324,107.326,29.252,0.566,WL_877,1.0732599999999999,12.718444164400001,138.23,43968.1521142232,46565.19627722914,30.225898785663233
2021-01-19T11:18:00Z,40007.5,29.24,CT_324,107.29,29.252,0.562,WL_877,1.0729000000000002,12.732300873599998,138.24,43968.94505978114,46566.03638978672,30.22650837397189
2021-01-19T11:19:00Z,40035,29.26,CT_324,107.113,29.352,0.544,WL_877,1.07113,12.760014793600003,138.26,44018.130074143955,46618.147089944534,30.26431786473838
2021-01-19T11:20:00Z,40038.9,29.31,CT_324,107.077,29.352,0.541,WL_877,1.07077,12.829302519599999,138.31,44069.84167101599,46672.93466201683,30.304076668831375
2021-01-19T11:21:00Z,40093.9,29.35,CT_324,107.167,29.352,0.55,WL_877,1.0716700000000001,12.884735710000003,138.35,44168.38410575283,46777.33872361804,30.37986250178593
2021-01-19T11:22:00Z,40070.3,29.36,CT_324,106.914,29.352,0.525,WL_877,1.06914,12.898594425599999,138.36,44151.883499625554,46759.85660737878,30.367171135081666
2021-01-19T11:23:00Z,40054.6,29.37,CT_324,106.863,29.452,0.52,WL_877,1.06863,12.912453308400002,138.37,44144.079069707244,46751.58794439993,30.36116847317023
2021-01-19T11:24:00Z,40133.2,29.37,CT_324,107.261,29.452,0.559,WL_877,1.07261,12.912453308400002,138.37,44230.70394212836,46843.36554803438,30.4278049882167
2021-01-19T11:25:00Z,40082.1,29.4,CT_324,106.936,29.452,0.527,WL_877,1.06936,12.954030959999999,138.4,44202.895412772,46813.90287624518,30.406411374613246
2021-01-19T11:26:00Z,40109.6,29.41,CT_324,106.954,29.452,0.529,WL_877,1.06954,12.9678905116,138.41,44242.73365002645,46856.11082237016,30.437061607187104
2021-01-19T11:27:00Z,40089.9,29.42,CT_324,107.442,29.452,0.577,WL_877,1.07442,12.981750230400003,138.42000000000002,44230.51075895353,46843.160873691406,30.42765584734393
2021-01-19T11:28:00Z,40117.5,29.4,CT_324,107.008,29.452,0.534,WL_877,1.07008,12.954030959999999,138.4,44241.93484677401,46855.26450368321,30.4364468369299
2021-01-19T11:29:00Z,40097.8,29.36,CT_324,106.358,29.452,0.469,WL_877,1.06358,12.898594425599999,138.36,44182.18466523299,46791.96018558968,30.39048059853025
2021-01-19T11:30:00Z,40097.8,29.38,CT_324,106.972,29.452,0.53,WL_877,1.06972,12.9263123584,138.38,44201.195501600385,46812.101848787795,30.40510351710942
2021-01-19T11:31:00Z,40113.5,29.41,CT_324,106.99,29.452,0.532,WL_877,1.0699,12.9678905116,138.41,44247.03552940782,46860.668591631016,30.440371509170767
2021-01-19T11:32:00Z,40070.3,29.38,CT_324,106.538,29.452,0.487,WL_877,1.06538,12.9263123584,138.38,44170.881297921034,46779.98445695775,30.381785142433387
2021-01-19T11:33:00Z,40074.2,29.41,CT_324,106.882,29.452,0.521,WL_877,1.06882,12.9678905116,138.41,44203.68582179552,46814.74030138697,30.407019597379772
2021-01-19T11:34:00Z,40105.7,29.43,CT_324,107.008,29.452,0.534,WL_877,1.07008,12.9956101164,138.43,44257.45428777737,46871.70709188248,30.44838820328333
2021-01-19T11:35:00Z,40101.7,29.43,CT_324,106.791,29.452,0.512,WL_877,1.06791,12.9956101164,138.43,44253.04020655822,46867.030446650926,30.444992346076617
2021-01-19T11:36:00Z,40129.3,29.48,CT_324,106.759,29.552,0.509,WL_877,1.06759,13.0649120544,138.48,44331.09553140067,46949.728757941055,30.505061264736682
2021-01-19T11:37:00Z,40117.5,29.46,CT_324,106.704,29.552,0.504,WL_877,1.06704,13.037190777600003,138.46,44299.02394879767,46915.749452531425,30.480378059288068
2021-01-19T11:38:00Z,40117.5,29.45,CT_324,107.246,29.552,0.558,WL_877,1.07246,13.02333039,138.45,44289.50711505858,46905.666526342335,30.473052632937463
2021-01-19T11:39:00Z,40121.4,29.46,CT_324,107.373,29.552,0.57,WL_877,1.07373,13.037190777600003,138.46,44303.330453275776,46920.312122004914,30.48369043819051
2021-01-19T11:40:00Z,40105.7,29.47,CT_324,107.264,29.552,0.56,WL_877,1.07264,13.051051332399998,138.47,44295.5088395705,46912.02525309117,30.47767132098329
2021-01-19T11:41:00Z,40133.2,29.48,CT_324,107.626,29.552,0.596,WL_877,1.07626,13.0649120544,138.48,44335.40388645726,46954.293388071506,30.508374906657053
2021-01-19T11:42:00Z,40137.2,29.48,CT_324,106.163,29.552,0.45,WL_877,1.06163,13.0649120544,138.48,44339.822712156325,46958.97506000017,30.51178018067836
2021-01-19T11:43:00Z,40133.2,29.48,CT_324,106.524,29.552,0.486,WL_877,1.06524,13.0649120544,138.48,44335.40388645726,46954.293388071506,30.50837800403902
2021-01-19T11:44:00Z,40117.5,29.42,CT_324,107.301,29.552,0.563,WL_877,1.07301,12.981750230400003,138.42000000000002,44260.96137362075,46875.42279068178,30.45108598891146
2021-01-19T11:45:00Z,40109.6,29.41,CT_324,106.993,29.552,0.533,WL_877,1.06993,12.9678905116,138.41,44242.73365002645,46856.11082237016,30.437061497802894
2021-01-19T11:46:00Z,40101.7,29.43,CT_324,107.68,29.552,0.601,WL_877,1.0768000000000002,12.9956101164,138.43,44253.04020655822,46867.030446650926,30.444989852088252
2021-01-19T11:47:00Z,40074.2,29.43,CT_324,107.355,29.552,0.569,WL_877,1.07355,12.9956101164,138.43,44222.69339817652,46834.878510684015,30.421641575669657
